region_name,nodes,edges,edge_node_ratio
chojnice.pl,246,331,1.3455284552845528
carsafetyseats101.info,16,15,0.9375
capside.net,39,46,1.1794871794871795
blamesystem.com,15,16,1.0666666666666667
bingdang.com,15,16,1.0666666666666667
browni.de,13,14,1.0769230769230769
01778.com,11,10,0.9090909090909091
airrock.com,15,17,1.1333333333333333
7elm-el3omr.net,14,15,1.0714285714285714
bijouteriegeschaefte.ch,12,13,1.0833333333333333
abbresciafineart.com,24,29,1.2083333333333333
avanti-avanti.com,18,17,0.9444444444444444
all-computers.com,16,19,1.1875
blkfri.com,12,11,0.9166666666666666
anoda.net,18,17,0.9444444444444444
123games.fr,12,13,1.0833333333333333
arrowbikes.ch,12,13,1.0833333333333333
bjycdl.com,5,4,0.8
alfdesigns.com,15,14,0.9333333333333333
8282find.com,11,12,1.0909090909090908
a8061.cn,5,4,0.8
34124.com,16,17,1.0625
4latina.com,14,15,1.0714285714285714
7box.jp,21,25,1.1904761904761905
21win.com,18,21,1.1666666666666667
calorieocunt.com,13,14,1.0769230769230769
anybodycandoit.com,17,16,0.9411764705882353
alaskanativetech.com,14,15,1.0714285714285714
atlantasfinest.com,61,63,1.0327868852459017
bfpnh.com,20,23,1.15
anudos.com,18,20,1.1111111111111112
amerigirl.com,12,13,1.0833333333333333
42919.com,11,10,0.9090909090909091
cactusfile.com,11,10,0.9090909090909091
chi-townbulldogs.com,15,16,1.0666666666666667
arctis.ch,24,26,1.0833333333333333
aionblah.com,18,17,0.9444444444444444
casinon.de,12,13,1.0833333333333333
abnehmen-erfahrungen.info,15,14,0.9333333333333333
catcat.de,12,13,1.0833333333333333
atr-rothfuss.de,16,17,1.0625
b5680.cn,5,4,0.8
centralamerica-photo.com,17,19,1.1176470588235294
blogideas.com,12,13,1.0833333333333333
collabrating.com,14,14,1.0
brickbuilding.info,73,86,1.178082191780822
abouttexas.com,12,13,1.0833333333333333
3w3d.net,18,17,0.9444444444444444
aprikosenkerne.net,12,13,1.0833333333333333
cd420.com,12,13,1.0833333333333333
assistedlivingconsult.com,14,13,0.9285714285714286
bestmba.com,12,13,1.0833333333333333
buildlist.net,19,18,0.9473684210526315
50bestgifts.com,14,15,1.0714285714285714
airbrushart.net,18,17,0.9444444444444444
appztr.com,15,16,1.0666666666666667
benjaminleon.com,18,17,0.9444444444444444
5starhotel.com,14,13,0.9285714285714286
anovelweblog.com,21,20,0.9523809523809523
arianne.com,8,7,0.875
